# Yamanote Line station sequence with published operating distance (営業キロ).
# Order is the outer loop (外回り, clockwise) starting from Shinagawa, which is
# the origin of JR East's official kilometrage for this line.
# dist_from_prev_km for Shinagawa is the loop-closing segment from Takanawa Gateway.
# cumulative_km is measured from Shinagawa = 0.0 and is PUBLISHED, not derived
# from coordinates. Sum of dist_from_prev_km = 34.5 km, matching the published total.
station_id,name_en,name_ja,cumulative_km,dist_from_prev_km,is_loop_origin
1,Shinagawa,品川,0.0,0.9,1
2,Osaki,大崎,2.0,2.0,0
3,Gotanda,五反田,2.9,0.9,0
4,Meguro,目黒,4.1,1.2,0
5,Ebisu,恵比寿,5.6,1.5,0
6,Shibuya,渋谷,7.2,1.6,0
7,Harajuku,原宿,8.4,1.2,0
8,Yoyogi,代々木,9.9,1.5,0
9,Shinjuku,新宿,10.6,0.7,0
10,Shin-Okubo,新大久保,11.9,1.3,0
11,Takadanobaba,高田馬場,13.3,1.4,0
12,Mejiro,目白,14.2,0.9,0
13,Ikebukuro,池袋,15.4,1.2,0
14,Otsuka,大塚,17.2,1.8,0
15,Sugamo,巣鴨,18.3,1.1,0
16,Komagome,駒込,19.0,0.7,0
17,Tabata,田端,20.6,1.6,0
18,Nishi-Nippori,西日暮里,21.4,0.8,0
19,Nippori,日暮里,21.9,0.5,0
20,Uguisudani,鶯谷,23.0,1.1,0
21,Ueno,上野,24.1,1.1,0
22,Okachimachi,御徒町,24.7,0.6,0
23,Akihabara,秋葉原,25.7,1.0,0
24,Kanda,神田,26.4,0.7,0
25,Tokyo,東京,27.7,1.3,0
26,Yurakucho,有楽町,28.5,0.8,0
27,Shimbashi,新橋,29.6,1.1,0
28,Hamamatsucho,浜松町,30.8,1.2,0
29,Tamachi,田町,32.3,1.5,0
30,Takanawa Gateway,高輪ゲートウェイ,33.6,1.3,0
