# JR East 各駅の乗車人員 (average daily BOARDING passengers), fiscal year 2024.
#
# Source: JR East published station ridership data.
# https://www.jreast.co.jp/company/data/passenger/
#
# IMPORTANT -- what this is and is not:
#   * boardings_2024 is 乗車人員: passengers BOARDING at that station per day,
#     averaged over the fiscal year. It is NOT 乗降人員 (boardings + alightings),
#     and it is NOT a segment load.
#   * JR East does not publish alightings per station, and no origin-destination
#     matrix is public. Segment-by-segment train loading therefore CANNOT be
#     derived from this file. Any attempt to do so would be inventing the OD
#     matrix and calling it data.
#   * For real segment loading, the only public source is MLIT's 混雑率
#     (congestion rate) for the single peak-hour critical section. See
#     data/congestion.json.
#
# Use this file for station busyness. Do not use it for train occupancy.
name_en,name_ja,rank_2024,boardings_2024
Shinjuku,新宿,1,666809
Ikebukuro,池袋,2,499128
Tokyo,東京,3,434564
Shibuya,渋谷,4,324414
Shinagawa,品川,5,287939
Shimbashi,新橋,6,231628
Akihabara,秋葉原,7,221421
Takadanobaba,高田馬場,8,179666
Ueno,上野,9,170042
Osaki,大崎,10,145194
Hamamatsucho,浜松町,11,133902
Yurakucho,有楽町,12,126872
Ebisu,恵比寿,13,126010
Tamachi,田町,14,125855
Gotanda,五反田,15,110321
Nippori,日暮里,16,107077
Meguro,目黒,17,93384
Kanda,神田,18,90528
Nishi-Nippori,西日暮里,19,89606
Harajuku,原宿,20,67407
Sugamo,巣鴨,21,67160
Okachimachi,御徒町,22,62984
Yoyogi,代々木,23,56582
Otsuka,大塚,24,54351
Shin-Okubo,新大久保,25,49246
Komagome,駒込,26,43540
Tabata,田端,27,40479
Mejiro,目白,28,33541
Uguisudani,鶯谷,29,24460
Takanawa Gateway,高輪ゲートウェイ,30,14209
